resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,
"Buena Vista, MN",Minnesota,1510,1280,230,5,16,30,0.2,6,0.55,16.5,0.25,7.5,47.65096,-94.88969,26
"Chester Bowl Park, MN",Minnesota,875,700,175,1,4,117,0.4,46.8,0.6,70.2,,0,44.89489,-93.27029,9
"Hyland, MN",Minnesota,1075,900,175,6,14,35,0.4,14,0.4,14,0.2,7,46,-89.9697876,10
"Lutsen Mountains, MN",Minnesota,1913,1088,825,10,92,986,0.18,177.48,0.47,463.42,0.35,345.1,46.73,-94.69,173
"Mount Kato, MN",Minnesota,540,300,240,8,19,55,0.24,13.2,0.59,32.45,0.17,9.35,43,-89.46180725,30
"Snow Creek, MO",Missouri,1100,850,300,6,12,25,0.3,7.5,0.6,15,0.1,2.5,39.46811,-93.33756,52
"Bear Paw, MT",Montana,5280,4200,900,1,11,80,0.25,20,0.25,20,0.5,40,48.32266,-109.65547,178
"Big Sky, MT",Montana,11166,6800,4350,34,306,5800,0.15,870,0.25,1450,0.6,3480,45.29,-111.38,360
"Blacktail Mountain, MT",Montana,6780,5340,1440,4,25,2500,0.15,375,0.7,1750,0.15,375,46.00568,-114.16641,242
"Bridger Bowl, MT",Montana,8800,6100,2700,8,71,2000,0.2,400,0.3,600,0.5,1000,45.8166,-110.88339,332
"Maverick Mountain, MT",Montana,8820,6800,2020,2,24,210,0.2,42,0.35,73.5,0.45,94.5,45.72072,-107.62521,291
"Turner Mountain, MT",Montana,5952,3842,2100,1,25,1000,0.1,100,0.3,300,0.6,600,48.60483,-115.63046,300
"Whitefish Mountain, MT",Montana,6817,4464,2353,13,98,3000,0.15,450,0.35,1050,0.5,1500,48.50291,-114.33022,320
"Diamond Peak, NV",Nevada,8540,6700,1840,6,31,655,0.18,117.9,0.46,301.3,0.36,235.8,39.68159,-119.98185,280
"Las Vegas, NV",Nevada,11289,8510,2300,4,30,195,0.1,19.5,0.45,87.75,0.45,87.75,36.12,-115.18,317
"Mt. Rose Ski Tahoe, NV",Nevada,9700,8260,1800,8,60,1200,0.2,240,0.7,840,0.1,120,38.81,-116.41,274
"Black Mountain, NH",New Hampshire ,3303,1250,1100,4,40,143,0.33,47.19,0.35,50.05,0.32,45.76,44.15622,-71.15711,214
"Cranmore Mountain, NH",New Hampshire ,2000,500,1500,10,54,200,0.36,72,0.44,88,0.2,40,44.11954,-71.9606,248
"Dartmouth Skiway, NH",New Hampshire ,1943,975,968,4,31,107,0.24,25.68,0.5,53.5,0.26,27.82,43.2,-71.56,186
